,Links,title,channel_name,views,description,datePublished,duration,tags
0,https://www.youtube.com/watch?v=3oIHAJSNPrs ,Pewdiepie GFUEL Flavor Review! - The Best Flavor?,DannyDorito23,14798,"Today we taste and review the Pewdiepie GFUEL Flavor just in time for the Floor Gang RESKIN launch! ▬▬▬▬▬▬▬▬▬▬▬▬▬  ⬇️ USE CODE ""DANNYD"" FOR 10-30% OFF YOUR O...",2021-03-04,,"Pewdiepie, GFUEL, BestGFUEL, GFUELReview"
1,https://www.youtube.com/watch?v=OT-KswrRecQ,IS (BLUE ICE) STILL GOOD AFTER 8 YEARS? - GOING BACK AND TRYING THE OLD GAMMA LABS G-FUEL!,ElectricShock,50222,► Follow me HERE!• Twitter - https://twitter.com/ES_FTW• INSTA - https://www.instagram.com/electric.shock14/ADD ME ON SNAP    reid-tomaskoDISCORD COMING SOON...,2020-02-01,,"Fortnite, G-Fuel, 'diet, drinks, best diet drinks, energy drinks, best energy drink, low calorie energy drink, pre-workout, old gfuel, faze rain, faze rain gfuel, faze rain gfuel shaker cup, faze rain hat, faze rain gfuel flavor, new faze rain gfuel, limited edition, faze censor girlfriend, faze censor, faze, faze stuff, gfuel faze flavors, all faze gfuel flavors, gfuel faze, faze news, faze memebers"
2,https://www.youtube.com/watch?v=mmVRTlE6b80,My Top 10 GFUEL Flavours - July 2022,Jordan89,5647,"JOIN AS A MEMBERhttps://www.shorturl.at/wFGQUIf you join as a member to this channel you can get entry into GFUEL giveaways, member badges and exclusive Disc...",2022-07-16,,"My Top 10 GFUEL Flavours - July 2022, Best GFUEL Flavours, GFUEL Top 10, GFUEL, Top GFUEL Flavours, GFUEL Ranking, GFUEL Tier List, Favourite GFUEL Flavours, GFUEL Giveaway, Free GFUEL"
3,https://www.youtube.com/watch?v=5Bl9Ip4x_rU,Ninja Cotton Candy GFUEL Flavor REVIEW!,DannyDorito23,5914,Today we taste and review the NEW Cotton Candy GFUEL Flavor inspired by Ninja!                     ▬▬▬▬▬▬▬▬▬▬▬▬▬                                             ...,2022-11-04,,"Ninja GFUEL, Cotton Candy GFUEL, GFUEL Review"
4,https://www.youtube.com/watch?v=z7HVM9f4icg,"G FUEL x NINJA ""COTTON CANDY"" TUB FLAVOR REVIEW!",ᵀᴴᴱ Billeh,487,• ❇️DONATIONS: https://streamlabs.com/thebilleh/tip❇️•❇️ DONATE THROUGH THE STREAMLABS LINK FOR TEXT TO SPEECH! ❇️• Donations are through Superchat and the S...,2022-10-31,,"billehvain, vainocd, the, billeheditshd, faze clan gfueL FLAVORS, best gfuel flavors, most juice like gfuel flavors, honest gfuel flavor taste test, best gfuel review, does gfuel improve gaming?, does gfuel actually work?, is gfuel healthy?, best sugar free energy drink, top 10 gfuel flavors, top 5 gfuel flavors, does gfuel work?, gaming, gfuel new flavor 2022, best gfuel flavor, collectors box, ninja gfuel, ninja gfuel flavor, is ninjas gfuel flavor good?, ninja stream, ninja"
5,https://www.youtube.com/watch?v=7c4an1YgcOI,Ragin Gummy Fish GFUEL Flavor Review! - Best Candy Flavor?,DannyDorito23,14654,"Today we taste and review Faze Jev's Ragin' Gummy Fish GFUEL flavor! ▬▬▬▬▬▬▬▬▬▬▬▬▬  ⬇️ USE CODE ""DANNYD"" FOR 10-30% OFF YOUR ORDER! ⬇️   https://gfuel.com/​​...",2021-04-10,,"GFUEL, GFUELREVIEW, RaginGummyFish"
6,https://www.youtube.com/watch?v=XyxzT13J-wA,TRYING EVERY SINGLE GFUEL FLAVOR (900.000 MG CAFFEINE),Anomaly & Papanomaly,367738,USE CODE ANOMALY FOR UP TO 30% OFF GFUEL ORDERS!,2022-04-09,,"anomaly, papanomaly, energy drink, monster, monster energy, gfuel, review, papa beer review, beer review, anomaly food"
7,https://www.youtube.com/watch?v=x3SbSiDHw6w,TRYING PEWDIEPIE'S GFUEL FLAVOR! (GIVEAWAY),Bastrin,60236,FOLLOW THE LINKS BELOW TO ENTER IN THE GIVE AWAY! AFTER YOU ARE DONE COMMENT ON THIS VIDEO YOUR @. Picking the Winner Oct 20.Twitter: https://twitter.com/Bas...,2019-10-17,,"Bastrin, GFuel, Gamma Labs, PewDiePie, PewDiePie GFuel, PewDiePie GFuel Flavor, GFuel PewDiePie, Comedy, Bastrin PewDiePie, Giveaway, GFuel Giveaway, Taste Test, GFuel Taste Test, GFuel Review, GFuel Bastrin, Energy Drink, Gaming Energy Drink, Energy Drink For Gamers, Bastrin Gamma Labs"
8,https://www.youtube.com/watch?v=EsUiKWJrK5o,Chili Dogs GFUEL REVIEW!,ElectricShock,39486,Ladies and gents today we try the new CHILI DOGS GFUEL flavor......This is not a joke.Check out my car channel! https://www.youtube.com/channel/UCnWqsov0Wd-h...,2021-06-28,,"gfuel, new gfuel, gfuel review, new gfuel flavor, chili dogs gfuel, chili dogs gamma, chili dogs gfuel review, is chili dogs gfuel real, best gfuel, chili dogs sonic, chili dogs gfuel taste test, gfuel flavor taste test chili dogs, chili dogs gfuel flavor taste test, chili gfuel, sonic gfuel, sonic gfuel flavor, sanic gfuel flavor review, sanic gfuel flavor taste test, sanic chili dogs gfuel, sanic gfuel, worst gfuel flavor, worst gfuel, worst gfuel flavors"
9,https://youtube.com/shorts/HGqZ3dffMwY,Johnny Sins Tries GFUEL... #shorts,ElectricShock,8745,"Pick up some G-FUEL Here ►  http://gfuel.ly/2ywynGo ►  USE CODE ""SHOCK"" FOR 30% OFF ►► FIND ALL my Socials here! https://linktr.ee/electricshockyt►► Join My ...",2022-12-11,,"electric shock, electric shock gfuel, electric shot, electricshock, eletric shock, gfuel, gfuel review, johnny sins, johnny sins cameo memes, johnny sins fortnite meme, johnny sins gfuel, johnny sins tries gfuel, mango gfuel, mango lemonade, mango lemonade gfuel, mango lemonade gfuel flavor, new gfuel, new gfuel flavor, taste test"
